airline,orignum,deptime,depdelay,arrdelay,cancelled,distance
20366.00,77.00,0.00,0.00,0.00,1.00,349.00
20366.00,70.00,0.00,0.00,0.00,1.00,196.00
20366.00,68.00,0.00,0.00,0.00,1.00,715.00
20366.00,66.00,0.00,0.00,0.00,1.00,542.00
20366.00,73.00,0.00,0.00,0.00,1.00,542.00
20366.00,79.00,0.00,0.00,0.00,1.00,473.00
20366.00,82.00,0.00,0.00,0.00,1.00,642.00
20366.00,77.00,0.00,0.00,0.00,1.00,725.00
20366.00,79.00,0.00,0.00,0.00,1.00,224.00
20366.00,84.00,0.00,0.00,0.00,1.00,224.00
20366.00,73.00,0.00,0.00,0.00,1.00,177.00
20366.00,79.00,0.00,0.00,0.00,1.00,177.00
20366.00,79.00,0.00,0.00,0.00,1.00,900.00
20366.00,80.00,0.00,0.00,0.00,1.00,900.00
20366.00,65.00,0.00,0.00,0.00,1.00,775.00
20366.00,65.00,0.00,0.00,0.00,1.00,160.00
20366.00,79.00,0.00,0.00,0.00,1.00,160.00
20366.00,68.00,0.00,0.00,0.00,1.00,303.00
20366.00,83.00,0.00,0.00,0.00,1.00,303.00
20366.00,67.00,0.00,0.00,0.00,1.00,667.00
20366.00,79.00,0.00,0.00,0.00,1.00,667.00
20366.00,79.00,0.00,0.00,0.00,1.00,416.00
20366.00,79.00,0.00,0.00,0.00,1.00,416.00
20366.00,68.00,0.00,0.00,0.00,1.00,775.00
20366.00,68.00,0.00,0.00,0.00,1.00,300.00
20366.00,82.00,0.00,0.00,0.00,1.00,300.00
20366.00,73.00,0.00,0.00,0.00,1.00,588.00
20366.00,79.00,0.00,0.00,0.00,1.00,588.00
20366.00,69.00,0.00,0.00,0.00,1.00,566.00
20366.00,79.00,0.00,0.00,0.00,1.00,566.00
20366.00,66.00,0.00,0.00,0.00,1.00,584.00
20366.00,79.00,0.00,0.00,0.00,1.00,584.00
20366.00,68.00,0.00,0.00,0.00,1.00,488.00
20366.00,68.00,0.00,0.00,0.00,1.00,488.00
20366.00,67.00,0.00,0.00,0.00,1.00,315.00
20366.00,67.00,0.00,0.00,0.00,1.00,416.00
20366.00,79.00,0.00,0.00,0.00,1.00,416.00
20366.00,84.00,0.00,0.00,0.00,1.00,419.00
20366.00,65.00,0.00,0.00,0.00,1.00,654.00
20366.00,79.00,0.00,0.00,0.00,1.00,654.00
20366.00,68.00,0.00,0.00,0.00,1.00,576.00
20366.00,77.00,0.00,0.00,0.00,1.00,403.00
20366.00,67.00,0.00,0.00,0.00,1.00,212.00
20366.00,79.00,0.00,0.00,0.00,1.00,212.00
20366.00,79.00,0.00,0.00,0.00,1.00,84.00
