id,tsunami,year,eq,region,deaths
5629.00,0.00,2002.00,5.90,40.00,50.00
8132.00,0.00,2008.00,5.90,30.00,43.00
7764.00,0.00,2008.00,5.90,10.00,38.00
9913.00,0.00,1885.00,5.90,15.00,33.00
5082.00,0.00,1985.00,5.90,40.00,29.00
5437.00,0.00,1996.00,5.90,160.00,27.00
5474.00,0.00,1997.00,5.90,170.00,20.00
10197.00,0.00,2016.00,5.90,10.00,19.00
10370.00,0.00,2018.00,5.90,90.00,18.00
3426.00,1.00,1930.00,5.90,130.00,18.00
9901.00,0.00,2012.00,5.90,130.00,17.00
5707.00,0.00,2003.00,5.90,30.00,16.00
5094.00,0.00,1986.00,5.90,140.00,15.00
3687.00,0.00,1941.00,5.90,140.00,15.00
4959.00,1.00,1982.00,5.90,170.00,13.00
3647.00,0.00,1939.00,5.90,140.00,13.00
5446.00,0.00,1997.00,5.90,40.00,12.00
4398.00,0.00,1967.00,5.90,130.00,9.00
5083.00,0.00,1985.00,5.90,15.00,6.00
10121.00,0.00,2014.00,5.90,30.00,5.00
5553.00,0.00,2000.00,5.90,30.00,5.00
4255.00,0.00,1962.00,5.90,130.00,4.00
5390.00,0.00,1994.00,5.90,140.00,3.00
5219.00,0.00,1989.00,5.90,140.00,3.00
3274.00,0.00,1925.00,5.90,140.00,3.00
10352.00,0.00,2018.00,5.90,60.00,2.00
5841.00,0.00,2005.00,5.90,140.00,2.00
5405.00,0.00,1995.00,5.90,130.00,2.00
4744.00,0.00,1976.00,5.90,130.00,2.00
10282.00,0.00,2017.00,5.90,170.00,1.00
8793.00,0.00,2009.00,5.90,10.00,1.00
7232.00,0.00,2006.00,5.90,140.00,1.00
6779.00,0.00,2005.00,5.90,140.00,1.00
5539.00,0.00,1999.00,5.90,30.00,1.00
5270.00,0.00,1990.00,5.90,130.00,1.00
4794.00,0.00,1978.00,5.90,60.00,1.00
4561.00,0.00,1971.00,5.90,140.00,1.00
4377.00,0.00,1966.00,5.90,130.00,1.00
1129.00,1.00,1693.00,6.00,130.00,60000.00
405.00,0.00,1143.00,6.00,30.00,10000.00
3546.00,0.00,1935.00,6.00,30.00,3276.00
4954.00,0.00,1982.00,6.00,60.00,2800.00
3101.00,0.00,1917.00,6.00,100.00,2650.00
4297.00,0.00,1963.00,6.00,130.00,1070.00
1615.00,0.00,1814.00,6.00,30.00,900.00
1233.00,0.00,1725.00,6.00,30.00,614.00
3684.00,0.00,1941.00,6.00,140.00,430.00
1651.00,0.00,1820.00,6.00,30.00,430.00
4220.00,0.00,1960.00,6.00,140.00,420.00
3167.00,0.00,1920.00,6.00,160.00,400.00
2694.00,0.00,1904.00,6.00,30.00,400.00
1864.00,0.00,1845.00,6.00,30.00,380.00
514.00,0.00,1314.00,6.00,30.00,340.00
3801.00,0.00,1945.00,6.00,140.00,300.00
1930.00,0.00,1852.00,6.00,30.00,300.00
1265.00,0.00,1736.00,6.00,30.00,260.00
4425.00,0.00,1968.00,6.00,130.00,216.00
1518.00,0.00,1792.00,6.00,30.00,205.00
3485.00,0.00,1932.00,6.00,30.00,200.00
1731.00,0.00,1829.00,6.00,30.00,200.00
1562.00,0.00,1803.00,6.00,30.00,200.00
1524.00,0.00,1793.00,6.00,30.00,200.00
3659.00,0.00,1940.00,6.00,30.00,181.00
5531.00,0.00,1999.00,6.00,130.00,143.00
3679.00,0.00,1941.00,6.00,30.00,132.00
1813.00,0.00,1839.00,6.00,30.00,129.00
4353.00,0.00,1965.00,6.00,100.00,125.00
1364.00,0.00,1761.00,6.00,30.00,120.00
3578.00,0.00,1936.00,6.00,30.00,115.00
3989.00,0.00,1952.00,6.00,140.00,103.00
8010.00,1.00,1935.00,6.00,30.00,100.00
1812.00,0.00,1839.00,6.00,30.00,100.00
10018.00,0.00,2013.00,6.00,30.00,94.00
3940.00,0.00,1950.00,6.00,160.00,83.00
2342.00,0.00,1885.00,6.00,30.00,80.00
5516.00,0.00,1999.00,6.00,40.00,70.00
1332.00,0.00,1755.00,6.00,30.00,70.00
